author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ИНКОМ-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307874336/;Долгопрудный;sale;flat;14;27;1;44.2;9350000;;Новый бульвар;7;Долгопрудная;мкр. Центральный корп. 9, 10, 11
Простор-недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306732181/;Долгопрудный;sale;flat;2;18;1;40.0;9100000;;Набережная ;33;Водники;Московские водники
Дмитрий Вережников;realtor;https://dolgoprudny.cian.ru/sale/flat/305046267/;Долгопрудный;sale;flat;10;12;1;40.0;10740000;;Первомайская ;9/4;Новодачная;
ID 117220912;homeowner;https://dolgoprudny.cian.ru/sale/flat/302735411/;Долгопрудный;sale;flat;9;9;2;44.2;7500000;;Московское шоссе;57;Водники;
ГАРАНТИЯ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/302792749/;Долгопрудный;sale;flat;17;23;2;76.7;18990000;;бульвар Космонавта Сереброва А.А.;2;Долгопрудная;
ID 18087292;homeowner;https://dolgoprudny.cian.ru/sale/flat/302275572/;Долгопрудный;sale;flat;12;16;1;34.5;7300000;;проспект Пацаева;9;Водники;
Екатерина Попова;realtor;https://dolgoprudny.cian.ru/sale/flat/305267434/;Долгопрудный;sale;flat;6;17;2;70.7;15370000;;Набережная ;29к1;Водники;Московские водники
ID 520636;realtor;https://dolgoprudny.cian.ru/sale/flat/307395851/;Долгопрудный;sale;flat;15;17;1;41.0;8500000;;Новый бульвар;23;Долгопрудная;
Евгений Подгорнов;realtor;https://dolgoprudny.cian.ru/sale/flat/308209013/;Долгопрудный;sale;flat;2;2;2;54.7;8900000;;Речная ;18/10;Водники;
Магазин квартир;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306576437/;Долгопрудный;sale;flat;5;5;2;43.0;6500000;;Лихачевское шоссе;11;Долгопрудная;
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308931747/;Долгопрудный;sale;flat;13;23;1;31.8;8000000;;Парковая ;52;Водники;Бригантина
Градомиръ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306279271/;Долгопрудный;sale;flat;12;17;1;34.0;6200000;;;к2;Шереметьевская;Бригантина ЖК
Бест на Речном;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307522366/;Долгопрудный;sale;flat;1;5;2;42.1;7300000;;Первомайская ;60;Долгопрудная;
ID 77917736;homeowner;https://dolgoprudny.cian.ru/sale/flat/305534385/;Долгопрудный;sale;flat;5;5;1;30.5;5000000;; Нефтяников;14;Шереметьевская;
Екатерина Попова;realtor;https://dolgoprudny.cian.ru/sale/flat/306652837/;Долгопрудный;sale;flat;6;17;1;49.06;9970000;;Старое Дмитровское шоссе;17;Водники;Московские водники
ID 13328470;homeowner;https://dolgoprudny.cian.ru/sale/flat/304872221/;Долгопрудный;sale;flat;11;17;2;61.7;10500000;;Госпитальная ;10;Хлебниково;
Городской Центр Недвижимости;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306007671/;Долгопрудный;sale;flat;21;25;2;50.0;12200000;;Парковая ;46;Водники;Бригантина
Самолет Плюс МСК-Север;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308747733/;Долгопрудный;sale;flat;23;23;1;34.0;8400000;;бульвар Имени Умберто Нобиле;1;Долгопрудная;
Марьяна Кунижева;realtor;https://dolgoprudny.cian.ru/sale/flat/308190561/;Долгопрудный;sale;flat;2;5;-1;45.5;3700000;;Театральная ;15/22;Водники;
ID 72329732;realtor;https://dolgoprudny.cian.ru/sale/flat/308186227/;Долгопрудный;sale;flat;3;5;1;30.7;6200000;;Дирижабельная ;22/15;Долгопрудная;
Юлия Устинова;realtor;https://dolgoprudny.cian.ru/sale/flat/306127245/;Долгопрудный;sale;flat;6;17;2;63.0;10500000;;Новое шоссе;10;Хлебниково;Хлебниково
Самолет плюс;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/304351158/;Долгопрудный;sale;flat;14;20;1;40.2;8400000;;Гранитная ;6;Долгопрудная;
Самолет Плюс;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308060965/;Долгопрудный;sale;flat;9;10;2;55.5;10900000;;Лихачевское шоссе;7;Долгопрудная;
ID 479190;realtor;https://dolgoprudny.cian.ru/sale/flat/306224593/;Долгопрудный;sale;flat;2;5;2;42.0;6350000;;Нагорная ;4;Долгопрудная;
Павел Ибрагимов;realtor;https://dolgoprudny.cian.ru/sale/flat/308428486/;Долгопрудный;sale;flat;24;24;1;35.0;8850000;;Парковая ;50;Водники;Бригантина
Градомиръ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303064000/;Долгопрудный;sale;flat;1;4;2;44.4;5340000;;Флотская ;2;Водники;
Est-a-Tet – Вторичная недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306458973/;Долгопрудный;sale;flat;14;24;1;31.0;7900000;;Парковая ;44;Хлебниково;Бригантина
ID 925;realtor;https://dolgoprudny.cian.ru/sale/flat/308040333/;Долгопрудный;sale;flat;18;18;2;51.0;9200000;;Парковая ;44к1;Водники;Бригантина
ID 97364505;homeowner;https://dolgoprudny.cian.ru/sale/flat/298758797/;Долгопрудный;sale;flat;14;16;2;50.0;11200000;;проспект Пацаева;11;Водники;
Городские квартиры;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307869847/;Долгопрудный;sale;flat;4;9;1;37.1;8200000;;Молодежная ;14/1;Долгопрудная;
ID 93194164;homeowner;https://dolgoprudny.cian.ru/sale/flat/307482309/;Долгопрудный;sale;flat;15;17;1;47.0;10680000;;Набережная ;29к1;Водники;Московские водники
Home Market;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306309983/;Долгопрудный;sale;flat;2;2;2;45.0;6500000;; Нефтяников;4;Шереметьевская;
ID 78729934;homeowner;https://dolgoprudny.cian.ru/sale/flat/301975971/;Долгопрудный;sale;flat;10;25;1;45.0;10800000;;Новый бульвар;11;Долгопрудная;мкр. Центральный корп. 9, 10, 11
ID 12225892;realtor;https://dolgoprudny.cian.ru/sale/flat/297743432/;Долгопрудный;sale;flat;25;27;1;44.2;9990000;;Новый бульвар;11;Долгопрудная;мкр. Центральный корп. 9, 10, 11
ID 63790486;homeowner;https://dolgoprudny.cian.ru/sale/flat/295420535/;Долгопрудный;sale;flat;7;23;2;34.0;7900000;;Заводская ;к5;Водники;Бригантина
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307101402/;Долгопрудный;sale;flat;10;24;2;47.9;10300000;;Парковая ;48;Долгопрудная;Бригантина
ID 27119;realtor;https://dolgoprudny.cian.ru/sale/flat/308330093/;Долгопрудный;sale;flat;18;23;1;36.0;9300000;;Парковая ;34;Водники;
ID 253416;unknown;https://dolgoprudny.cian.ru/sale/flat/306756828/;Долгопрудный;sale;flat;15;24;1;34.1;8200000;;Парковая ;46к1;Водники;Бригантина
ID 107430799;homeowner;https://dolgoprudny.cian.ru/sale/flat/305075736/;Долгопрудный;sale;flat;5;13;1;40.0;9990000;;Набережная ;23;Водники;
Мост Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308159834/;Долгопрудный;sale;flat;3;19;1;46.7;9950000;;Новое шоссе;10к1;Хлебниково;
ID 96554600;homeowner;https://dolgoprudny.cian.ru/sale/flat/307061965/;Долгопрудный;sale;flat;8;17;1;47.0;9900000;;Госпитальная ;10;Хлебниково;
Городские квартиры;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306945504/;Долгопрудный;sale;flat;2;23;1;32.4;8350000;;Парковая ;52;Водники;Бригантина
Вероника Тодорощан;realtor;https://dolgoprudny.cian.ru/sale/flat/303607327/;Долгопрудный;sale;flat;1;2;1;31.9;7000000;; Павлова;10;Долгопрудная;
Эксперт;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306231345/;Долгопрудный;sale;flat;9;17;1;42.3;10900000;;Новый бульвар;15;Долгопрудная;
ID 111847619;homeowner;https://dolgoprudny.cian.ru/sale/flat/297777449/;Долгопрудный;sale;flat;1;9;2;43.0;8500000;;Лихачевское шоссе;13к2;Долгопрудная;
Владис Дмитров;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306261640/;Долгопрудный;sale;flat;3;5;1;30.7;6200000;;Дирижабельная ;22/15;Долгопрудная;
ОЛИМП-НЕДВИЖИМОСТЬ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/302755601/;Долгопрудный;sale;flat;2;5;2;40.9;7600000;;Московское шоссе;43к3;Долгопрудная;
GENESIS Asset Management;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308009888/;Долгопрудный;sale;flat;8;19;2;68.3;14900000;;Лихачевское шоссе;20к4;Водники;
Самолет Плюс МСК-Север;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303923901/;Долгопрудный;sale;flat;9;24;1;48.4;8900000;;Заводская ;2;Долгопрудная;Бригантина
Самолет Плюс МСК-Север;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308150497/;Долгопрудный;sale;flat;3;19;1;46.7;10200000;;Новое шоссе;10к1;Хлебниково;
ID 104423195;homeowner;https://dolgoprudny.cian.ru/sale/flat/288981465/;Долгопрудный;sale;flat;13;24;2;53.7;9950000;;Парковая ;50;Водники;Бригантина
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/300147209/;Долгопрудный;sale;flat;2;17;2;56.5;11100000;;Новое шоссе;10;Хлебниково;Хлебниково
Юлия Давыдова;realtor;https://dolgoprudny.cian.ru/sale/flat/307578260/;Долгопрудный;sale;flat;4;20;1;41.0;9300000;;Гранитная ;6;Долгопрудная;
Градомиръ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/304767327/;Долгопрудный;sale;flat;2;23;2;47.5;9999999;;Парковая ;46к1;Водники;Бригантина
ID 47017257;homeowner;https://dolgoprudny.cian.ru/sale/flat/305029313/;Долгопрудный;sale;flat;5;17;1;42.4;9850000;;Новый бульвар;19;Долгопрудная;
ID 80685486;homeowner;https://dolgoprudny.cian.ru/sale/flat/298939520/;Долгопрудный;sale;flat;15;19;1;44.6;10500000;;проспект Ракетостроителей;9к1;Долгопрудная;
Городской Центр Недвижимости;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/288059805/;Долгопрудный;sale;flat;2;18;1;54.2;10600000;;Лихачевское шоссе;14к1;Водники;
ID 15216000;homeowner;https://dolgoprudny.cian.ru/sale/flat/289859004/;Долгопрудный;sale;flat;10;15;1;45.0;10550000;;Набережная ;29к1;Водники;Московские водники
Дмитрий Вережников;realtor;https://dolgoprudny.cian.ru/sale/flat/302407075/;Долгопрудный;sale;flat;10;12;1;40.0;10740000;;Первомайская ;9/4;Новодачная;
ID 120348302;homeowner;https://dolgoprudny.cian.ru/sale/flat/305876059/;Долгопрудный;sale;flat;3;20;1;35.6;10800000;;Парковая ;50;Водники;Бригантина
ID 69385226;homeowner;https://dolgoprudny.cian.ru/sale/flat/303073725/;Долгопрудный;sale;flat;5;27;1;45.6;10800000;;Новый бульвар;9;Долгопрудная;мкр. Центральный корп. 9, 10, 11
САМОЛЕТ ПЛЮС;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307937180/;Долгопрудный;sale;flat;12;17;1;50.0;10990000;;Набережная ;29к1;Водники;Московские водники
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303488976/;Долгопрудный;sale;flat;16;23;1;31.3;10950000;;Парковая ;48;Долгопрудная;Бригантина
Денис Циликин;realtor;https://dolgoprudny.cian.ru/sale/flat/306152385/;Долгопрудный;sale;flat;7;17;2;56.0;10999999;;Новое шоссе;10;Хлебниково;Хлебниково
Мария Леонова;realtor;https://dolgoprudny.cian.ru/sale/flat/303987216/;Долгопрудный;sale;flat;10;27;1;45.0;10900000;;Новый бульвар;9;Долгопрудная;мкр. Центральный корп. 9, 10, 11
ID 13345460;homeowner;https://dolgoprudny.cian.ru/sale/flat/306128058/;Долгопрудный;sale;flat;6;17;2;64.0;10950000;;Новое шоссе;12;Хлебниково;Хлебниково
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307484039/;Долгопрудный;sale;flat;2;19;1;44.6;11000000;;проспект Ракетостроителей;9к3;Долгопрудная;
ID 269853;homeowner;https://dolgoprudny.cian.ru/sale/flat/307265772/;Долгопрудный;sale;flat;2;19;1;44.6;11000000;;проспект Ракетостроителей;9к3;Долгопрудная;
Самолет Плюс;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/305578854/;Долгопрудный;sale;flat;14;16;2;50.0;11199000;;проспект Пацаева;11;Водники;
ID 12369177;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/295845451/;Долгопрудный;sale;flat;3;16;2;56.0;11200000;;Новый бульвар;22;Долгопрудная;
ID 227969;realtor;https://dolgoprudny.cian.ru/sale/flat/296614979/;Долгопрудный;sale;flat;13;24;2;60.8;11200000;;Парковая ;46;Водники;Бригантина
ID 25406066;unknown;https://dolgoprudny.cian.ru/sale/flat/293807817/;Долгопрудный;sale;flat;14;21;2;66.1;11299000;;проспект Ракетостроителей;3;Долгопрудная;
ID 218092;realtor;https://dolgoprudny.cian.ru/sale/flat/290419433/;Долгопрудный;sale;flat;10;24;2;50.0;11300000;;Парковая ;50к1;Долгопрудная;Бригантина
ID 11388;realtor;https://dolgoprudny.cian.ru/sale/flat/296386898/;Долгопрудный;sale;flat;17;19;2;60.0;11500000;;Спортивная ;11Б;Долгопрудная;
Самолет плюс;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306314116/;Долгопрудный;sale;flat;6;23;1;43.0;11750000;;Новый бульвар;2;Долгопрудная;по ул. Дирижабельная, 1
ID 16340;realtor;https://dolgoprudny.cian.ru/sale/flat/308384498/;Долгопрудный;sale;flat;6;18;2;54.0;13200000;;Старое Дмитровское шоссе;17;Водники;Московские водники
ID 18705620;realtor;https://dolgoprudny.cian.ru/sale/flat/308342244/;Долгопрудный;sale;flat;15;18;2;56.6;13200000;;Лихачевский проспект;66к1;Долгопрудная;
Самолет Плюс Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306063211/;Долгопрудный;sale;flat;7;27;2;65.8;13500000;;Новый бульвар;11;Долгопрудная;мкр. Центральный корп. 9, 10, 11
ID 1372;realtor;https://dolgoprudny.cian.ru/sale/flat/297493488/;Долгопрудный;sale;flat;3;19;2;66.1;13400000;;проспект Ракетостроителей;5к1;Долгопрудная;
ID 98882182;unknown;https://dolgoprudny.cian.ru/sale/flat/304108109/;Долгопрудный;sale;flat;14;19;2;68.0;13500000;;проспект Ракетостроителей;5к1;Долгопрудная;
ID 97235081;homeowner;https://dolgoprudny.cian.ru/sale/flat/306874285/;Долгопрудный;sale;flat;2;17;2;62.0;13500000;;Лихачевский проспект;70к4;Долгопрудная;
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306887391/;Долгопрудный;sale;flat;9;12;2;62.4;13700000;;Набережная ;25;Водники;Московские водники
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307229725/;Долгопрудный;sale;flat;9;12;2;62.4;13700000;;Набережная ;25;Водники;Московские водники
ID 54133659;realtor;https://dolgoprudny.cian.ru/sale/flat/298983334/;Долгопрудный;sale;flat;18;18;2;63.7;13766697;;Парковая ;44;Хлебниково;Бригантина
Дмитрий Вережников;realtor;https://dolgoprudny.cian.ru/sale/flat/308539168/;Долгопрудный;sale;flat;11;23;2;49.3;13900000;;Новый бульвар;7к1;Долгопрудная;
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308803846/;Долгопрудный;sale;flat;19;19;2;70.0;14000000;;проспект Ракетостроителей;9к1;Долгопрудная;
Московская Корпорация Недвижимости;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/266530425/;Долгопрудный;sale;flat;5;18;2;68.5;14000000;;Набережная ;21к1;Водники;Московские водники
ID 149678;homeowner;https://dolgoprudny.cian.ru/sale/flat/308782433/;Долгопрудный;sale;flat;6;18;2;67.3;14000000;;Московская ;58к3;Водники;Московские водники
ID 111792932;homeowner;https://dolgoprudny.cian.ru/sale/flat/307474351/;Долгопрудный;sale;flat;8;9;2;55.1;14000000;; Циолковского;28;Долгопрудная;
ID 31688245;realtor;https://dolgoprudny.cian.ru/sale/flat/280792346/;Долгопрудный;sale;flat;18;21;2;67.4;14000000;;Старое Дмитровское шоссе;11;Водники;Московские водники
ID 86210088;homeowner;https://dolgoprudny.cian.ru/sale/flat/291598283/;Долгопрудный;sale;flat;2;10;2;74.0;14200000;;Дирижабельная ;9;Долгопрудная;
ID 535615;realtor;https://dolgoprudny.cian.ru/sale/flat/307916923/;Долгопрудный;sale;flat;1;12;2;70.0;14500000;;Первомайская ;11А;Долгопрудная;
ID 93219364;homeowner;https://dolgoprudny.cian.ru/sale/flat/305555949/;Долгопрудный;sale;flat;17;17;2;73.0;14500000;;Новый бульвар;19;Долгопрудная;
ID 105375728;homeowner;https://dolgoprudny.cian.ru/sale/flat/299742530/;Долгопрудный;sale;flat;5;8;2;76.0;14675000;;Московское шоссе;59к1;Водники;
Дмитрий Вережников;realtor;https://dolgoprudny.cian.ru/sale/flat/308589650/;Долгопрудный;sale;flat;22;23;2;67.0;14750000;;проспект Ракетостроителей;3;Долгопрудная;
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303635692/;Долгопрудный;sale;flat;8;19;2;68.3;14900000;;Лихачевское шоссе;20к4;Водники;
ID 97417544;realtor;https://dolgoprudny.cian.ru/sale/flat/302089633/;Долгопрудный;sale;flat;19;19;2;74.0;14800000;;Молодежная ;12;Долгопрудная;
ID 109757813;homeowner;https://dolgoprudny.cian.ru/sale/flat/294869132/;Долгопрудный;sale;flat;8;19;2;68.3;14900000;;Лихачевское шоссе;20к4;Водники;
ID 48528655;realtor;https://dolgoprudny.cian.ru/sale/flat/307325541/;Долгопрудный;sale;flat;9;13;2;70.5;14990000;;Лихачевское шоссе;14к1;Водники;
ID 12893431;homeowner;https://dolgoprudny.cian.ru/sale/flat/307452784/;Долгопрудный;sale;flat;19;25;2;62.2;14990000;;Старое Дмитровское шоссе;11;Водники;Московские водники
ID 71933553;homeowner;https://dolgoprudny.cian.ru/sale/flat/306654125/;Долгопрудный;sale;flat;12;19;2;66.1;15150000;;проспект Ракетостроителей;9к3;Долгопрудная;
ID 13020891;realtor;https://dolgoprudny.cian.ru/sale/flat/308310704/;Долгопрудный;sale;flat;22;25;2;65.4;15100000;;Новый бульвар;9;Долгопрудная;мкр. Центральный корп. 9, 10, 11
Азамат Сейталиев;realtor;https://dolgoprudny.cian.ru/sale/flat/286752911/;Долгопрудный;sale;flat;6;18;2;70.2;15370000;;Набережная ;29к1;Водники;Московские водники
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/304542722/;Долгопрудный;sale;flat;5;19;2;67.6;15700000;;проспект Ракетостроителей;3;Долгопрудная;
ID 64059704;realtor;https://dolgoprudny.cian.ru/sale/flat/298693964/;Долгопрудный;sale;flat;15;18;2;65.0;15600000;;проспект Пацаева;7к8;Водники;
Наталья Гудумак;realtor;https://dolgoprudny.cian.ru/sale/flat/307412098/;Долгопрудный;sale;flat;19;24;2;83.0;15950000;;Старое Дмитровское шоссе;11;Водники;Московские водники
ID 107425527;homeowner;https://dolgoprudny.cian.ru/sale/flat/304222691/;Долгопрудный;sale;flat;4;23;2;65.0;15950000;;Новый бульвар;3;Долгопрудная;Новый бульвар
ID 33297107;homeowner;https://dolgoprudny.cian.ru/sale/flat/293911834/;Долгопрудный;sale;flat;11;17;2;56.8;16000000;;Парковая ;32А;Водники;
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308044929/;Долгопрудный;sale;flat;10;19;2;66.1;16800000;;проспект Ракетостроителей;9к3;Долгопрудная;
Дмитрий Вережников;realtor;https://dolgoprudny.cian.ru/sale/flat/299293942/;Долгопрудный;sale;flat;15;18;2;72.0;16750000;;Старое Дмитровское шоссе;13к2;Водники;Московские водники
ID 71418085;homeowner;https://dolgoprudny.cian.ru/sale/flat/305233520/;Долгопрудный;sale;flat;15;19;2;75.2;16800000;;Лихачевское шоссе;1к4;Долгопрудная;
ID 109838466;homeowner;https://dolgoprudny.cian.ru/sale/flat/308525957/;Долгопрудный;sale;flat;2;23;2;69.2;16990000;;Новый бульвар;2;Долгопрудная;по ул. Дирижабельная, 1
